2005-01-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.08, RSI ~N/A, Net Advances 182, McClellan N/A, Score: 0/39
2005-03-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.49, RSI ~N/A, Net Advances 193, McClellan N/A, Score: 0/39
2005-03-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.80, RSI ~N/A, Net Advances 191, McClellan N/A, Score: 0/39
2005-03-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.39, RSI ~N/A, Net Advances 193, McClellan N/A, Score: 0/39
2005-03-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.15, RSI ~N/A, Net Advances 189, McClellan N/A, Score: 0/39
2005-03-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.49, RSI ~N/A, Net Advances 183, McClellan N/A, Score: 0/39
2005-03-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.29, RSI ~N/A, Net Advances 186, McClellan N/A, Score: 0/39
2005-03-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.14, RSI ~N/A, Net Advances 183, McClellan N/A, Score: 0/39
2005-03-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.61, RSI ~N/A, Net Advances 178, McClellan N/A, Score: 0/39
2005-03-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.27, RSI ~N/A, Net Advances 172, McClellan N/A, Score: 0/39
2005-03-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.06, RSI ~N/A, Net Advances 166, McClellan N/A, Score: 0/39
2005-03-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.42, RSI ~N/A, Net Advances 169, McClellan N/A, Score: 0/39
2005-03-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.75, RSI ~N/A, Net Advances 168, McClellan N/A, Score: 0/39
2005-03-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.49, RSI ~N/A, Net Advances 162, McClellan N/A, Score: 0/39
2005-03-30, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.64, RSI ~N/A, Net Advances 170, McClellan N/A, Score: 0/39
2005-03-31, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.02, RSI ~N/A, Net Advances 173, McClellan N/A, Score: 0/39
2005-04-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.09, RSI ~N/A, Net Advances 171, McClellan N/A, Score: 0/39
2005-04-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.11, RSI ~N/A, Net Advances 172, McClellan N/A, Score: 0/39
2005-04-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.68, RSI ~N/A, Net Advances 174, McClellan N/A, Score: 0/39
2005-04-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.15, RSI ~N/A, Net Advances 176, McClellan N/A, Score: 0/39
2005-04-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.33, RSI ~N/A, Net Advances 179, McClellan N/A, Score: 0/39
2005-04-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.62, RSI ~N/A, Net Advances 173, McClellan N/A, Score: 0/39
2005-04-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.98, RSI ~N/A, Net Advances 171, McClellan N/A, Score: 0/39
2005-04-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.30, RSI ~N/A, Net Advances 175, McClellan N/A, Score: 0/39
2005-04-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.31, RSI ~N/A, Net Advances 168, McClellan N/A, Score: 0/39
2005-04-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.53, RSI ~N/A, Net Advances 160, McClellan N/A, Score: 0/39
2005-04-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 17.74, RSI ~N/A, Net Advances 153, McClellan N/A, Score: 0/39
2005-04-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 16.56, RSI ~N/A, Net Advances 156, McClellan N/A, Score: 0/39
2005-04-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.96, RSI ~N/A, Net Advances 163, McClellan N/A, Score: 0/39
2005-04-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 16.92, RSI ~N/A, Net Advances 155, McClellan N/A, Score: 0/39
2005-04-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.41, RSI ~N/A, Net Advances 162, McClellan N/A, Score: 0/39
2005-04-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 15.38, RSI ~N/A, Net Advances 159, McClellan N/A, Score: 0/39
2005-04-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.62, RSI ~N/A, Net Advances 165, McClellan N/A, Score: 0/39
2005-04-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.91, RSI ~N/A, Net Advances 160, McClellan N/A, Score: 0/39
2005-04-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.87, RSI ~N/A, Net Advances 160, McClellan N/A, Score: 0/39
2005-04-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 16.86, RSI ~N/A, Net Advances 154, McClellan N/A, Score: 0/39
2005-04-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 15.31, RSI ~N/A, Net Advances 159, McClellan N/A, Score: 0/39
2005-05-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 15.12, RSI ~N/A, Net Advances 163, McClellan N/A, Score: 0/39
2005-05-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.53, RSI ~N/A, Net Advances 163, McClellan N/A, Score: 0/39
2005-05-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.85, RSI ~N/A, Net Advances 171, McClellan N/A, Score: 0/39
2005-05-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.98, RSI ~N/A, Net Advances 170, McClellan N/A, Score: 0/39
2005-05-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.05, RSI ~N/A, Net Advances 170, McClellan N/A, Score: 0/39
2005-05-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.75, RSI ~N/A, Net Advances 175, McClellan N/A, Score: 0/39
2005-05-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.91, RSI ~N/A, Net Advances 170, McClellan N/A, Score: 0/39
2005-05-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.45, RSI ~N/A, Net Advances 171, McClellan N/A, Score: 0/39
2005-05-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 16.12, RSI ~N/A, Net Advances 164, McClellan N/A, Score: 0/39
2005-05-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 16.32, RSI ~N/A, Net Advances 158, McClellan N/A, Score: 0/39
2005-05-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 15.68, RSI ~N/A, Net Advances 165, McClellan N/A, Score: 0/39
2005-05-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.57, RSI ~N/A, Net Advances 169, McClellan N/A, Score: 0/39
2005-05-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.63, RSI ~N/A, Net Advances 177, McClellan N/A, Score: 0/39
2005-05-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.32, RSI ~N/A, Net Advances 179, McClellan N/A, Score: 0/39
2005-05-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.14, RSI ~N/A, Net Advances 177, McClellan N/A, Score: 0/39
2005-05-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.95, RSI ~N/A, Net Advances 180, McClellan N/A, Score: 0/39
2005-05-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.69, RSI ~N/A, Net Advances 180, McClellan N/A, Score: 0/39
2005-05-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.58, RSI ~N/A, Net Advances 174, McClellan N/A, Score: 0/39
2005-05-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.24, RSI ~N/A, Net Advances 180, McClellan N/A, Score: 0/39
2005-05-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.15, RSI ~N/A, Net Advances 184, McClellan N/A, Score: 0/39
2005-05-31, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.29, RSI ~N/A, Net Advances 184, McClellan N/A, Score: 0/39
2005-06-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.36, RSI ~N/A, Net Advances 190, McClellan N/A, Score: 0/39
2005-06-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.84, RSI ~N/A, Net Advances 192, McClellan N/A, Score: 0/39
2005-06-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.15, RSI ~N/A, Net Advances 189, McClellan N/A, Score: 0/39
2005-06-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.28, RSI ~N/A, Net Advances 192, McClellan N/A, Score: 0/39
2005-06-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.39, RSI ~N/A, Net Advances 193, McClellan N/A, Score: 0/39
2005-06-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.70, RSI ~N/A, Net Advances 190, McClellan N/A, Score: 0/39
2005-06-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.08, RSI ~N/A, Net Advances 193, McClellan N/A, Score: 0/39
2005-06-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.96, RSI ~N/A, Net Advances 193, McClellan N/A, Score: 0/39
2005-06-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.65, RSI ~N/A, Net Advances 194, McClellan N/A, Score: 0/39
2005-06-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.79, RSI ~N/A, Net Advances 198, McClellan N/A, Score: 0/39
2005-06-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.46, RSI ~N/A, Net Advances 201, McClellan N/A, Score: 0/39
2005-06-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.15, RSI ~N/A, Net Advances 205, McClellan N/A, Score: 0/39
2005-06-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.48, RSI ~N/A, Net Advances 208, McClellan N/A, Score: 0/39
2005-06-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.47, RSI ~N/A, Net Advances 205, McClellan N/A, Score: 0/39
2005-06-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.08, RSI ~N/A, Net Advances 205, McClellan N/A, Score: 0/39
2005-06-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.05, RSI ~N/A, Net Advances 207, McClellan N/A, Score: 0/39
2005-06-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.13, RSI ~N/A, Net Advances 201, McClellan N/A, Score: 0/39
2005-06-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.18, RSI ~N/A, Net Advances 198, McClellan N/A, Score: 0/39
2005-06-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.52, RSI ~N/A, Net Advances 198, McClellan N/A, Score: 0/39
2005-06-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.58, RSI ~N/A, Net Advances 204, McClellan N/A, Score: 0/39
2005-06-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.77, RSI ~N/A, Net Advances 206, McClellan N/A, Score: 0/39
2005-06-30, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.04, RSI ~N/A, Net Advances 204, McClellan N/A, Score: 0/39
2005-07-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.40, RSI ~N/A, Net Advances 208, McClellan N/A, Score: 0/39
2005-07-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.68, RSI ~N/A, Net Advances 213, McClellan N/A, Score: 0/39
2005-07-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.27, RSI ~N/A, Net Advances 210, McClellan N/A, Score: 0/39
2005-07-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.49, RSI ~N/A, Net Advances 212, McClellan N/A, Score: 0/39
2005-07-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.45, RSI ~N/A, Net Advances 219, McClellan N/A, Score: 0/39
2005-07-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.28, RSI ~N/A, Net Advances 225, McClellan N/A, Score: 0/39
2005-07-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.95, RSI ~N/A, Net Advances 226, McClellan N/A, Score: 0/39
2005-07-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.84, RSI ~N/A, Net Advances 224, McClellan N/A, Score: 0/39
2005-07-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.81, RSI ~N/A, Net Advances 222, McClellan N/A, Score: 0/39
2005-07-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.33, RSI ~N/A, Net Advances 222, McClellan N/A, Score: 0/39
2005-07-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.77, RSI ~N/A, Net Advances 218, McClellan N/A, Score: 0/39
2005-07-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.45, RSI ~N/A, Net Advances 224, McClellan N/A, Score: 0/39
2005-07-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.23, RSI ~N/A, Net Advances 230, McClellan N/A, Score: 0/39
2005-07-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.97, RSI ~N/A, Net Advances 224, McClellan N/A, Score: 0/39
2005-07-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.52, RSI ~N/A, Net Advances 230, McClellan N/A, Score: 0/39
2005-07-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.10, RSI ~N/A, Net Advances 226, McClellan N/A, Score: 0/39
2005-07-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.99, RSI ~N/A, Net Advances 228, McClellan N/A, Score: 0/39
2005-07-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.36, RSI ~N/A, Net Advances 230, McClellan N/A, Score: 0/39
2005-07-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.52, RSI ~N/A, Net Advances 237, McClellan N/A, Score: 0/39
2005-07-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.57, RSI ~N/A, Net Advances 234, McClellan N/A, Score: 0/39
2005-08-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.08, RSI ~N/A, Net Advances 235, McClellan N/A, Score: 0/39
2005-08-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.75, RSI ~N/A, Net Advances 240, McClellan N/A, Score: 0/39
2005-08-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.83, RSI ~N/A, Net Advances 239, McClellan N/A, Score: 0/39
2005-08-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.52, RSI ~N/A, Net Advances 234, McClellan N/A, Score: 0/39
2005-08-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.48, RSI ~N/A, Net Advances 226, McClellan N/A, Score: 0/39
2005-08-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.21, RSI ~N/A, Net Advances 223, McClellan N/A, Score: 0/39
2005-08-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.40, RSI ~N/A, Net Advances 226, McClellan N/A, Score: 0/39
2005-08-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.38, RSI ~N/A, Net Advances 228, McClellan N/A, Score: 0/39
2005-08-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.42, RSI ~N/A, Net Advances 233, McClellan N/A, Score: 0/39
2005-08-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.74, RSI ~N/A, Net Advances 229, McClellan N/A, Score: 0/39
2005-08-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.26, RSI ~N/A, Net Advances 232, McClellan N/A, Score: 0/39
2005-08-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.52, RSI ~N/A, Net Advances 225, McClellan N/A, Score: 0/39
2005-08-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.30, RSI ~N/A, Net Advances 224, McClellan N/A, Score: 0/39
2005-08-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.42, RSI ~N/A, Net Advances 221, McClellan N/A, Score: 0/39
2005-08-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.42, RSI ~N/A, Net Advances 222, McClellan N/A, Score: 0/39
2005-08-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.42, RSI ~N/A, Net Advances 226, McClellan N/A, Score: 0/39
2005-08-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.34, RSI ~N/A, Net Advances 223, McClellan N/A, Score: 0/39
2005-08-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.17, RSI ~N/A, Net Advances 221, McClellan N/A, Score: 0/39
2005-08-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.73, RSI ~N/A, Net Advances 223, McClellan N/A, Score: 0/39
2005-08-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.72, RSI ~N/A, Net Advances 218, McClellan N/A, Score: 0/39
2005-08-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.52, RSI ~N/A, Net Advances 222, McClellan N/A, Score: 0/39
2005-08-30, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.65, RSI ~N/A, Net Advances 219, McClellan N/A, Score: 0/39
2005-08-31, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.60, RSI ~N/A, Net Advances 227, McClellan N/A, Score: 0/39
2005-09-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.15, RSI ~N/A, Net Advances 230, McClellan N/A, Score: 0/39
2005-09-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.57, RSI ~N/A, Net Advances 228, McClellan N/A, Score: 0/39
2005-09-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.93, RSI ~N/A, Net Advances 235, McClellan N/A, Score: 0/39
