2005-01-03, Steady Climb, SP500: +nan%, RSI: nan, VIX: 14.08, ATR: nan, BBW: nan, PrevState: None, Score: 2
2005-03-24, Steady Climb, SP500: -1.58%, RSI: 18.7, VIX: 13.42, ATR: -0.0046, BBW: 0.05, PrevState: Trend Pullback, Score: 6
2005-03-28, Trend Pullback, SP500: -1.29%, RSI: 18.4, VIX: 13.75, ATR: -0.0041, BBW: 0.06, PrevState: Steady Climb, Score: 10
2005-03-29, Steady Climb, SP500: -1.56%, RSI: 17.7, VIX: 14.49, ATR: -0.0017, BBW: 0.06, PrevState: Trend Pullback, Score: 6
2005-03-30, Steady Climb, SP500: +0.83%, RSI: 35.3, VIX: 13.64, ATR: -0.0009, BBW: 0.06, PrevState: Steady Climb, Score: 8
2005-03-31, Steady Climb, SP500: +0.69%, RSI: 33.3, VIX: 14.02, ATR: 0.0010, BBW: 0.06, PrevState: Steady Climb, Score: 8
2005-04-01, Trend Pullback, SP500: +0.13%, RSI: 33.9, VIX: 14.09, ATR: 0.0022, BBW: 0.06, PrevState: Steady Climb, Score: 8
2005-04-04, Steady Climb, SP500: +0.16%, RSI: 31.0, VIX: 14.11, ATR: 0.0011, BBW: 0.06, PrevState: Trend Pullback, Score: 6
2005-04-05, Steady Climb, SP500: +1.38%, RSI: 39.4, VIX: 13.68, ATR: 0.0011, BBW: 0.05, PrevState: Steady Climb, Score: 8
2005-04-06, Trend Pullback, SP500: +0.23%, RSI: 47.1, VIX: 13.15, ATR: -0.0004, BBW: 0.04, PrevState: Steady Climb, Score: 10
2005-04-07, Steady Climb, SP500: +0.89%, RSI: 50.6, VIX: 12.33, ATR: 0.0013, BBW: 0.04, PrevState: Trend Pullback, Score: 10
2005-04-08, Steady Climb, SP500: +0.71%, RSI: 45.0, VIX: 12.62, ATR: 0.0038, BBW: 0.04, PrevState: Steady Climb, Score: 8
2005-04-11, Trend Pullback, SP500: +0.43%, RSI: 48.4, VIX: 11.98, ATR: 0.0017, BBW: 0.03, PrevState: Steady Climb, Score: 10
2005-04-12, Steady Climb, SP500: +0.54%, RSI: 61.0, VIX: 11.30, ATR: -0.0003, BBW: 0.03, PrevState: Trend Pullback, Score: 10
2005-04-13, Trend Pullback, SP500: -0.87%, RSI: 50.7, VIX: 13.31, ATR: -0.0002, BBW: 0.03, PrevState: Steady Climb, Score: 12
2005-04-14, Steady Climb, SP500: -2.44%, RSI: 45.2, VIX: 14.53, ATR: -0.0024, BBW: 0.03, PrevState: Trend Pullback, Score: 6
2005-04-15, Orderly Decline, SP500: -3.27%, RSI: 36.0, VIX: 17.74, ATR: -0.0040, BBW: 0.04, PrevState: Steady Climb, Score: 8
2005-04-18, Orderly Decline, SP500: -2.98%, RSI: 41.0, VIX: 16.56, ATR: -0.0090, BBW: 0.04, PrevState: Orderly Decline, Score: 8
2005-04-19, Orderly Decline, SP500: -2.95%, RSI: 35.5, VIX: 14.96, ATR: -0.0100, BBW: 0.04, PrevState: Orderly Decline, Score: 6
2005-04-20, Orderly Decline, SP500: -3.09%, RSI: 30.9, VIX: 16.92, ATR: -0.0051, BBW: 0.05, PrevState: Orderly Decline, Score: 6
2005-04-21, Steady Climb, SP500: -0.18%, RSI: 44.9, VIX: 14.41, ATR: -0.0034, BBW: 0.05, PrevState: Orderly Decline, Score: 6
2005-04-22, Steady Climb, SP500: +0.83%, RSI: 40.9, VIX: 15.38, ATR: 0.0023, BBW: 0.05, PrevState: Steady Climb, Score: 8
2005-04-25, Steady Climb, SP500: +1.41%, RSI: 43.0, VIX: 14.62, ATR: 0.0017, BBW: 0.05, PrevState: Steady Climb, Score: 8
2005-04-26, Trend Pullback, SP500: -0.08%, RSI: 38.9, VIX: 14.91, ATR: 0.0029, BBW: 0.06, PrevState: Steady Climb, Score: 8
2005-04-27, Steady Climb, SP500: +1.66%, RSI: 37.8, VIX: 14.87, ATR: 0.0027, BBW: 0.06, PrevState: Trend Pullback, Score: 10
2005-04-28, Trend Pullback, SP500: -1.44%, RSI: 36.9, VIX: 16.86, ATR: -0.0006, BBW: 0.06, PrevState: Steady Climb, Score: 10
2005-04-29, Steady Climb, SP500: +0.41%, RSI: 42.3, VIX: 15.31, ATR: -0.0020, BBW: 0.06, PrevState: Trend Pullback, Score: 6
2005-05-02, Trend Pullback, SP500: +0.01%, RSI: 41.9, VIX: 15.12, ATR: -0.0016, BBW: 0.06, PrevState: Steady Climb, Score: 8
2005-05-03, Steady Climb, SP500: +0.81%, RSI: 45.6, VIX: 14.53, ATR: 0.0018, BBW: 0.05, PrevState: Trend Pullback, Score: 8
2005-05-04, Steady Climb, SP500: +1.67%, RSI: 54.6, VIX: 13.85, ATR: 0.0024, BBW: 0.05, PrevState: Steady Climb, Score: 12
2005-05-05, Steady Climb, SP500: +2.57%, RSI: 61.4, VIX: 13.98, ATR: 0.0059, BBW: 0.05, PrevState: Steady Climb, Score: 12
2005-05-06, Steady Climb, SP500: +1.25%, RSI: 59.8, VIX: 14.05, ATR: 0.0038, BBW: 0.05, PrevState: Steady Climb, Score: 10
2005-05-09, Steady Climb, SP500: +1.44%, RSI: 60.0, VIX: 13.75, ATR: 0.0025, BBW: 0.05, PrevState: Steady Climb, Score: 10
2005-05-10, Steady Climb, SP500: +0.43%, RSI: 61.3, VIX: 14.91, ATR: 0.0027, BBW: 0.04, PrevState: Steady Climb, Score: 8
2005-05-11, Trend Pullback, SP500: -0.39%, RSI: 55.1, VIX: 14.45, ATR: -0.0011, BBW: 0.04, PrevState: Steady Climb, Score: 12
2005-05-12, Steady Climb, SP500: -1.13%, RSI: 53.2, VIX: 16.12, ATR: -0.0007, BBW: 0.04, PrevState: Trend Pullback, Score: 6
2005-05-13, Trend Pullback, SP500: -1.48%, RSI: 46.3, VIX: 16.32, ATR: -0.0027, BBW: 0.04, PrevState: Steady Climb, Score: 12
2005-05-16, Steady Climb, SP500: -1.12%, RSI: 56.3, VIX: 15.68, ATR: -0.0048, BBW: 0.04, PrevState: Trend Pullback, Score: 8
2005-05-17, Steady Climb, SP500: +0.65%, RSI: 57.7, VIX: 14.57, ATR: -0.0015, BBW: 0.04, PrevState: Steady Climb, Score: 10
2005-05-18, Steady Climb, SP500: +1.23%, RSI: 68.9, VIX: 13.63, ATR: 0.0010, BBW: 0.04, PrevState: Steady Climb, Score: 10
2005-05-19, Steady Climb, SP500: +2.74%, RSI: 66.4, VIX: 13.32, ATR: 0.0061, BBW: 0.04, PrevState: Steady Climb, Score: 12
2005-05-20, Steady Climb, SP500: +3.05%, RSI: 63.5, VIX: 13.14, ATR: 0.0079, BBW: 0.04, PrevState: Steady Climb, Score: 12
2005-05-23, Steady Climb, SP500: +2.42%, RSI: 65.7, VIX: 12.95, ATR: 0.0054, BBW: 0.05, PrevState: Steady Climb, Score: 12
2005-05-24, Steady Climb, SP500: +1.73%, RSI: 60.2, VIX: 12.69, ATR: 0.0037, BBW: 0.05, PrevState: Steady Climb, Score: 12
2005-05-25, Trend Pullback, SP500: +0.38%, RSI: 59.5, VIX: 12.58, ATR: 0.0017, BBW: 0.05, PrevState: Steady Climb, Score: 10
2005-05-26, Steady Climb, SP500: +0.55%, RSI: 63.5, VIX: 12.24, ATR: 0.0002, BBW: 0.05, PrevState: Trend Pullback, Score: 10
2005-05-27, Steady Climb, SP500: +0.80%, RSI: 61.0, VIX: 12.15, ATR: 0.0011, BBW: 0.05, PrevState: Steady Climb, Score: 10
2005-05-31, Steady Climb, SP500: -0.20%, RSI: 64.8, VIX: 13.29, ATR: 0.0011, BBW: 0.05, PrevState: Steady Climb, Score: 8
2005-06-01, Steady Climb, SP500: +0.68%, RSI: 67.0, VIX: 12.36, ATR: 0.0003, BBW: 0.05, PrevState: Steady Climb, Score: 10
2005-06-02, Steady Climb, SP500: +1.20%, RSI: 77.5, VIX: 11.84, ATR: 0.0015, BBW: 0.05, PrevState: Steady Climb, Score: 8
2005-06-03, Trend Pullback, SP500: -0.13%, RSI: 74.7, VIX: 12.15, ATR: 0.0014, BBW: 0.05, PrevState: Steady Climb, Score: 8
2005-06-06, Steady Climb, SP500: -0.11%, RSI: 71.3, VIX: 12.28, ATR: 0.0006, BBW: 0.05, PrevState: Trend Pullback, Score: 6
2005-06-07, Steady Climb, SP500: +0.48%, RSI: 67.6, VIX: 12.39, ATR: 0.0005, BBW: 0.05, PrevState: Steady Climb, Score: 8
2005-06-08, Trend Pullback, SP500: -0.63%, RSI: 57.9, VIX: 12.70, ATR: -0.0014, BBW: 0.05, PrevState: Steady Climb, Score: 12
2005-06-09, Steady Climb, SP500: -0.28%, RSI: 58.4, VIX: 12.08, ATR: -0.0015, BBW: 0.05, PrevState: Trend Pullback, Score: 8
2005-06-10, Trend Pullback, SP500: +0.17%, RSI: 57.4, VIX: 11.96, ATR: 0.0006, BBW: 0.04, PrevState: Steady Climb, Score: 10
2005-06-13, Steady Climb, SP500: +0.28%, RSI: 56.1, VIX: 11.65, ATR: 0.0004, BBW: 0.03, PrevState: Trend Pullback, Score: 8
2005-06-14, Steady Climb, SP500: +0.56%, RSI: 58.1, VIX: 11.79, ATR: 0.0009, BBW: 0.02, PrevState: Steady Climb, Score: 10
2005-06-15, Steady Climb, SP500: +1.00%, RSI: 64.0, VIX: 11.46, ATR: 0.0015, BBW: 0.02, PrevState: Steady Climb, Score: 10
2005-06-16, Steady Climb, SP500: +0.84%, RSI: 62.0, VIX: 11.15, ATR: 0.0014, BBW: 0.02, PrevState: Steady Climb, Score: 10
2005-06-17, Steady Climb, SP500: +1.57%, RSI: 65.0, VIX: 11.48, ATR: 0.0026, BBW: 0.02, PrevState: Steady Climb, Score: 12
2005-06-20, Steady Climb, SP500: +1.27%, RSI: 72.7, VIX: 11.47, ATR: 0.0032, BBW: 0.02, PrevState: Steady Climb, Score: 8
2005-06-21, Steady Climb, SP500: +0.81%, RSI: 62.4, VIX: 11.08, ATR: 0.0029, BBW: 0.03, PrevState: Steady Climb, Score: 10
2005-06-22, Steady Climb, SP500: +0.61%, RSI: 60.9, VIX: 11.05, ATR: 0.0016, BBW: 0.03, PrevState: Steady Climb, Score: 10
2005-06-23, Trend Pullback, SP500: -0.84%, RSI: 54.8, VIX: 12.13, ATR: 0.0002, BBW: 0.03, PrevState: Steady Climb, Score: 12
2005-06-24, Steady Climb, SP500: -2.09%, RSI: 44.8, VIX: 12.18, ATR: -0.0029, BBW: 0.03, PrevState: Trend Pullback, Score: 6
2005-06-27, Steady Climb, SP500: -2.09%, RSI: 44.3, VIX: 12.52, ATR: -0.0052, BBW: 0.03, PrevState: Steady Climb, Score: 6
2005-06-28, Trend Pullback, SP500: -0.99%, RSI: 55.3, VIX: 11.58, ATR: -0.0057, BBW: 0.03, PrevState: Steady Climb, Score: 12
2005-06-29, Steady Climb, SP500: -1.16%, RSI: 49.1, VIX: 11.77, ATR: -0.0029, BBW: 0.03, PrevState: Trend Pullback, Score: 6
2005-06-30, Trend Pullback, SP500: -0.78%, RSI: 44.9, VIX: 12.04, ATR: 0.0007, BBW: 0.03, PrevState: Steady Climb, Score: 10
2005-07-01, Steady Climb, SP500: +0.24%, RSI: 45.3, VIX: 11.40, ATR: 0.0007, BBW: 0.03, PrevState: Trend Pullback, Score: 6
2005-07-05, Steady Climb, SP500: +1.20%, RSI: 50.7, VIX: 11.68, ATR: -0.0002, BBW: 0.03, PrevState: Steady Climb, Score: 10
2005-07-06, Trend Pullback, SP500: -0.55%, RSI: 42.9, VIX: 12.27, ATR: 0.0001, BBW: 0.03, PrevState: Steady Climb, Score: 10
2005-07-07, Steady Climb, SP500: -0.17%, RSI: 41.9, VIX: 12.49, ATR: 0.0003, BBW: 0.03, PrevState: Trend Pullback, Score: 6
2005-07-08, Steady Climb, SP500: +1.72%, RSI: 47.1, VIX: 11.45, ATR: 0.0011, BBW: 0.03, PrevState: Steady Climb, Score: 10
2005-07-11, Steady Climb, SP500: +2.09%, RSI: 51.8, VIX: 11.28, ATR: 0.0023, BBW: 0.03, PrevState: Steady Climb, Score: 12
2005-07-12, Steady Climb, SP500: +1.43%, RSI: 54.5, VIX: 10.95, ATR: 0.0037, BBW: 0.03, PrevState: Steady Climb, Score: 10
2005-07-13, Steady Climb, SP500: +2.37%, RSI: 54.9, VIX: 10.84, ATR: 0.0062, BBW: 0.04, PrevState: Steady Climb, Score: 12
2005-07-14, Steady Climb, SP500: +2.39%, RSI: 64.9, VIX: 10.81, ATR: 0.0050, BBW: 0.04, PrevState: Steady Climb, Score: 12
2005-07-15, Steady Climb, SP500: +1.33%, RSI: 73.1, VIX: 10.33, ATR: 0.0027, BBW: 0.04, PrevState: Steady Climb, Score: 8
2005-07-18, Steady Climb, SP500: +0.14%, RSI: 68.0, VIX: 10.77, ATR: 0.0017, BBW: 0.04, PrevState: Steady Climb, Score: 8
2005-07-19, Steady Climb, SP500: +0.58%, RSI: 67.0, VIX: 10.45, ATR: 0.0002, BBW: 0.04, PrevState: Steady Climb, Score: 10
2005-07-20, Steady Climb, SP500: +0.97%, RSI: 70.5, VIX: 10.23, ATR: 0.0005, BBW: 0.05, PrevState: Steady Climb, Score: 8
2005-07-21, Trend Pullback, SP500: +0.04%, RSI: 70.8, VIX: 10.97, ATR: 0.0015, BBW: 0.05, PrevState: Steady Climb, Score: 8
2005-07-22, Steady Climb, SP500: +0.47%, RSI: 72.0, VIX: 10.52, ATR: 0.0010, BBW: 0.05, PrevState: Trend Pullback, Score: 6
2005-07-25, Steady Climb, SP500: +0.65%, RSI: 64.4, VIX: 11.10, ATR: 0.0019, BBW: 0.05, PrevState: Steady Climb, Score: 10
2005-07-26, Trend Pullback, SP500: +0.15%, RSI: 74.0, VIX: 10.99, ATR: -0.0002, BBW: 0.05, PrevState: Steady Climb, Score: 8
2005-07-27, Steady Climb, SP500: +0.13%, RSI: 74.9, VIX: 10.36, ATR: -0.0005, BBW: 0.05, PrevState: Trend Pullback, Score: 6
2005-07-28, Steady Climb, SP500: +1.36%, RSI: 72.4, VIX: 10.52, ATR: 0.0014, BBW: 0.05, PrevState: Steady Climb, Score: 8
2005-07-29, Steady Climb, SP500: +0.04%, RSI: 60.1, VIX: 11.57, ATR: 0.0023, BBW: 0.05, PrevState: Steady Climb, Score: 8
2005-08-01, Steady Climb, SP500: +0.51%, RSI: 59.2, VIX: 12.08, ATR: 0.0019, BBW: 0.04, PrevState: Steady Climb, Score: 10
2005-08-02, Steady Climb, SP500: +1.05%, RSI: 63.2, VIX: 11.75, ATR: 0.0005, BBW: 0.04, PrevState: Steady Climb, Score: 10
2005-08-03, Steady Climb, SP500: +0.67%, RSI: 62.1, VIX: 11.83, ATR: 0.0005, BBW: 0.04, PrevState: Steady Climb, Score: 10
2005-08-04, Trend Pullback, SP500: -0.63%, RSI: 54.7, VIX: 12.52, ATR: 0.0010, BBW: 0.03, PrevState: Steady Climb, Score: 12
2005-08-05, Steady Climb, SP500: -0.63%, RSI: 53.0, VIX: 12.48, ATR: 0.0011, BBW: 0.02, PrevState: Trend Pullback, Score: 8
2005-08-08, Trend Pullback, SP500: -0.99%, RSI: 46.2, VIX: 13.21, ATR: -0.0021, BBW: 0.02, PrevState: Steady Climb, Score: 12
2005-08-09, Steady Climb, SP500: -1.02%, RSI: 47.7, VIX: 12.40, ATR: -0.0049, BBW: 0.02, PrevState: Trend Pullback, Score: 6
2005-08-10, Trend Pullback, SP500: -1.28%, RSI: 51.3, VIX: 12.38, ATR: -0.0033, BBW: 0.02, PrevState: Steady Climb, Score: 12
2005-08-11, Steady Climb, SP500: +0.16%, RSI: 52.6, VIX: 12.42, ATR: -0.0007, BBW: 0.02, PrevState: Trend Pullback, Score: 8
2005-08-12, Trend Pullback, SP500: +0.32%, RSI: 50.8, VIX: 12.74, ATR: 0.0023, BBW: 0.02, PrevState: Steady Climb, Score: 10
2005-08-15, Steady Climb, SP500: +0.88%, RSI: 51.6, VIX: 12.26, ATR: 0.0017, BBW: 0.02, PrevState: Trend Pullback, Score: 10
2005-08-16, Trend Pullback, SP500: -0.98%, RSI: 40.7, VIX: 13.52, ATR: 0.0005, BBW: 0.02, PrevState: Steady Climb, Score: 10
2005-08-17, Steady Climb, SP500: -0.72%, RSI: 36.6, VIX: 13.30, ATR: -0.0019, BBW: 0.02, PrevState: Trend Pullback, Score: 6
2005-08-18, Trend Pullback, SP500: -1.52%, RSI: 40.5, VIX: 13.42, ATR: -0.0038, BBW: 0.03, PrevState: Steady Climb, Score: 10
2005-08-19, Steady Climb, SP500: -0.87%, RSI: 40.1, VIX: 13.42, ATR: -0.0030, BBW: 0.03, PrevState: Trend Pullback, Score: 6
2005-08-22, Trend Pullback, SP500: -0.98%, RSI: 34.5, VIX: 13.42, ATR: -0.0023, BBW: 0.03, PrevState: Steady Climb, Score: 10
2005-08-23, Steady Climb, SP500: -0.14%, RSI: 31.8, VIX: 13.34, ATR: 0.0003, BBW: 0.03, PrevState: Trend Pullback, Score: 6
2005-08-24, Trend Pullback, SP500: -0.87%, RSI: 32.3, VIX: 14.17, ATR: -0.0002, BBW: 0.03, PrevState: Steady Climb, Score: 10
2005-08-25, Steady Climb, SP500: -0.55%, RSI: 39.6, VIX: 13.73, ATR: -0.0017, BBW: 0.03, PrevState: Trend Pullback, Score: 6
2005-08-26, Trend Pullback, SP500: -1.20%, RSI: 37.4, VIX: 13.72, ATR: -0.0022, BBW: 0.04, PrevState: Steady Climb, Score: 10
2005-08-29, Steady Climb, SP500: -0.77%, RSI: 36.5, VIX: 13.52, ATR: -0.0032, BBW: 0.04, PrevState: Trend Pullback, Score: 6
2005-08-30, Trend Pullback, SP500: -0.75%, RSI: 35.6, VIX: 13.65, ATR: -0.0013, BBW: 0.04, PrevState: Steady Climb, Score: 10
2005-08-31, Steady Climb, SP500: +0.89%, RSI: 38.4, VIX: 12.60, ATR: -0.0002, BBW: 0.03, PrevState: Trend Pullback, Score: 8
2005-09-01, Steady Climb, SP500: +0.76%, RSI: 43.6, VIX: 13.15, ATR: 0.0016, BBW: 0.03, PrevState: Steady Climb, Score: 8
2005-09-02, Steady Climb, SP500: +1.07%, RSI: 38.6, VIX: 13.57, ATR: 0.0034, BBW: 0.03, PrevState: Steady Climb, Score: 8
2005-09-06, Steady Climb, SP500: +1.74%, RSI: 60.0, VIX: 12.93, ATR: 0.0020, BBW: 0.03, PrevState: Steady Climb, Score: 12
2005-09-07, Steady Climb, SP500: +2.31%, RSI: 61.2, VIX: 12.52, ATR: 0.0039, BBW: 0.03, PrevState: Steady Climb, Score: 12
2005-09-08, Steady Climb, SP500: +0.93%, RSI: 58.4, VIX: 12.93, ATR: 0.0036, BBW: 0.03, PrevState: Steady Climb, Score: 10
2005-09-09, Steady Climb, SP500: +1.63%, RSI: 62.8, VIX: 11.98, ATR: 0.0031, BBW: 0.03, PrevState: Steady Climb, Score: 12
2005-09-12, Steady Climb, SP500: +1.85%, RSI: 61.2, VIX: 11.65, ATR: 0.0036, BBW: 0.03, PrevState: Steady Climb, Score: 12
2005-09-13, Trend Pullback, SP500: -0.18%, RSI: 57.6, VIX: 12.39, ATR: 0.0016, BBW: 0.03, PrevState: Steady Climb, Score: 10
