2005-01-03, Volatile Chop, 5d%: +nan%, MA20: +nan, RSI: nan, VIX: 14.08, ATR: nan, BBW: nan, Score: [0, -2, -1], Dist: 2.24
2005-01-31, Steady Climb, 5d%: +1.51%, MA20: +nan, RSI: 45.4, VIX: 12.82, ATR: 0.0018, BBW: 0.03, Score: [1, 0, 3], Dist: 1.73
2005-02-01, Trend Pullback, 5d%: +1.80%, MA20: -1.18, RSI: 53.3, VIX: 12.03, ATR: 0.0019, BBW: 0.03, Score: [-1, 1, 3], Dist: 3.00
2005-02-02, Trend Pullback, 5d%: +1.63%, MA20: -0.74, RSI: 52.8, VIX: 11.66, ATR: 0.0031, BBW: 0.03, Score: [-1, 1, 3], Dist: 3.00
2005-02-03, Steady Climb, 5d%: +1.31%, MA20: -0.44, RSI: 56.9, VIX: 11.79, ATR: 0.0047, BBW: 0.03, Score: [0, 1, 3], Dist: 2.24
2005-02-04, Steady Climb, 5d%: +2.70%, MA20: -0.27, RSI: 59.6, VIX: 11.21, ATR: 0.0041, BBW: 0.03, Score: [1, 1, 3], Dist: 1.41
2005-02-07, Steady Climb, 5d%: +1.73%, MA20: +0.14, RSI: 53.3, VIX: 11.73, ATR: 0.0037, BBW: 0.04, Score: [1, 1, 3], Dist: 1.41
2005-02-08, Steady Climb, 5d%: +1.08%, MA20: +0.48, RSI: 61.8, VIX: 11.60, ATR: 0.0029, BBW: 0.04, Score: [2, 1, 3], Dist: 1.00
2005-02-09, Steady Climb, 5d%: -0.10%, MA20: +0.88, RSI: 60.9, VIX: 12.00, ATR: 0.0025, BBW: 0.04, Score: [2, 1, 3], Dist: 1.00
2005-02-10, Steady Climb, 5d%: +0.60%, MA20: +0.99, RSI: 69.8, VIX: 11.51, ATR: 0.0003, BBW: 0.04, Score: [3, 2, 3], Dist: 1.73
2005-02-11, Steady Climb, 5d%: +0.19%, MA20: +1.24, RSI: 76.7, VIX: 11.43, ATR: -0.0018, BBW: 0.04, Score: [2, 2, 3], Dist: 1.41
2005-02-14, Steady Climb, 5d%: +0.37%, MA20: +1.43, RSI: 75.5, VIX: 11.52, ATR: 0.0002, BBW: 0.05, Score: [2, 2, 3], Dist: 1.41
2005-02-15, Steady Climb, 5d%: +0.65%, MA20: +1.70, RSI: 74.9, VIX: 11.27, ATR: 0.0017, BBW: 0.05, Score: [3, 2, 3], Dist: 1.73
2005-02-16, Steady Climb, 5d%: +1.54%, MA20: +2.17, RSI: 74.9, VIX: 11.10, ATR: 0.0038, BBW: 0.05, Score: [3, 2, 3], Dist: 1.73
2005-02-17, Steady Climb, 5d%: +0.31%, MA20: +2.45, RSI: 68.7, VIX: 11.77, ATR: 0.0026, BBW: 0.05, Score: [2, 2, 3], Dist: 1.41
2005-02-18, Steady Climb, 5d%: -0.31%, MA20: +2.41, RSI: 64.7, VIX: 11.18, ATR: -0.0004, BBW: 0.05, Score: [2, 1, 3], Dist: 1.00
2005-02-22, Steady Climb, 5d%: -1.82%, MA20: +2.22, RSI: 46.7, VIX: 13.14, ATR: -0.0016, BBW: 0.04, Score: [1, 0, 3], Dist: 1.73
2005-02-23, Steady Climb, 5d%: -1.60%, MA20: +1.67, RSI: 48.5, VIX: 12.39, ATR: -0.0051, BBW: 0.04, Score: [1, 0, 3], Dist: 1.73
2005-02-24, Steady Climb, 5d%: -0.84%, MA20: +1.26, RSI: 55.9, VIX: 11.57, ATR: -0.0046, BBW: 0.04, Score: [1, 1, 3], Dist: 1.41
2005-02-25, Steady Climb, 5d%: +0.88%, MA20: +1.03, RSI: 54.9, VIX: 11.49, ATR: -0.0010, BBW: 0.04, Score: [3, 1, 3], Dist: 1.41
2005-02-28, Steady Climb, 5d%: +0.17%, MA20: +0.94, RSI: 51.0, VIX: 12.08, ATR: 0.0030, BBW: 0.03, Score: [2, 1, 3], Dist: 1.00
2005-03-01, Steady Climb, 5d%: +2.22%, MA20: +0.62, RSI: 54.1, VIX: 12.04, ATR: 0.0049, BBW: 0.03, Score: [4, 1, 3], Dist: 2.24
2005-03-02, Steady Climb, 5d%: +1.62%, MA20: +0.51, RSI: 60.2, VIX: 12.50, ATR: 0.0035, BBW: 0.03, Score: [3, 1, 3], Dist: 1.41
2005-03-03, Steady Climb, 5d%: +0.86%, MA20: +0.49, RSI: 58.0, VIX: 12.93, ATR: 0.0016, BBW: 0.03, Score: [2, 1, 3], Dist: 1.00
2005-03-04, Steady Climb, 5d%: +0.89%, MA20: +0.49, RSI: 59.7, VIX: 11.94, ATR: 0.0004, BBW: 0.03, Score: [2, 1, 3], Dist: 1.00
2005-03-07, Steady Climb, 5d%: +1.80%, MA20: +0.59, RSI: 60.7, VIX: 12.26, ATR: 0.0030, BBW: 0.03, Score: [3, 1, 3], Dist: 1.41
2005-03-08, Steady Climb, 5d%: +0.75%, MA20: +0.88, RSI: 55.1, VIX: 12.40, ATR: 0.0034, BBW: 0.03, Score: [3, 1, 3], Dist: 1.41
2005-03-09, Steady Climb, 5d%: -0.25%, MA20: +1.05, RSI: 48.4, VIX: 12.70, ATR: 0.0028, BBW: 0.03, Score: [2, 0, 3], Dist: 1.41
2005-03-10, Steady Climb, 5d%: -0.10%, MA20: +1.01, RSI: 54.4, VIX: 12.49, ATR: -0.0008, BBW: 0.03, Score: [2, 1, 3], Dist: 1.00
2005-03-11, Steady Climb, 5d%: -1.80%, MA20: +0.84, RSI: 49.3, VIX: 12.80, ATR: -0.0037, BBW: 0.03, Score: [1, 0, 3], Dist: 1.73
2005-03-14, Steady Climb, 5d%: -1.51%, MA20: +0.59, RSI: 62.1, VIX: 12.39, ATR: -0.0050, BBW: 0.03, Score: [1, 1, 3], Dist: 1.41
2005-03-15, Steady Climb, 5d%: -1.78%, MA20: +0.56, RSI: 53.6, VIX: 13.15, ATR: -0.0027, BBW: 0.03, Score: [1, 1, 3], Dist: 1.41
2005-03-16, Steady Climb, 5d%: -1.57%, MA20: +0.42, RSI: 43.7, VIX: 13.49, ATR: -0.0018, BBW: 0.04, Score: [0, 0, 3], Dist: 2.45
2005-03-17, Orderly Decline, 5d%: -1.57%, MA20: +0.21, RSI: 37.9, VIX: 13.29, ATR: -0.0038, BBW: 0.04, Score: [0, -2, 3], Dist: 3.00
2005-03-18, Orderly Decline, 5d%: -0.87%, MA20: +0.07, RSI: 41.3, VIX: 13.14, ATR: -0.0032, BBW: 0.04, Score: [-1, 0, 3], Dist: 2.45
2005-03-21, Orderly Decline, 5d%: -1.91%, MA20: -0.20, RSI: 33.2, VIX: 13.61, ATR: -0.0035, BBW: 0.04, Score: [-2, -2, 3], Dist: 2.24
2005-03-22, Orderly Decline, 5d%: -2.17%, MA20: -0.53, RSI: 28.9, VIX: 14.27, ATR: -0.0022, BBW: 0.05, Score: [-4, -2, 3], Dist: 3.00
2005-03-23, Orderly Decline, 5d%: -1.31%, MA20: -1.27, RSI: 29.3, VIX: 14.06, ATR: -0.0033, BBW: 0.05, Score: [-3, -2, 3], Dist: 2.45
2005-03-24, Orderly Decline, 5d%: -1.58%, MA20: -1.88, RSI: 18.7, VIX: 13.42, ATR: -0.0046, BBW: 0.05, Score: [-3, -2, 3], Dist: 2.45
2005-03-28, Orderly Decline, 5d%: -1.29%, MA20: -2.33, RSI: 18.4, VIX: 13.75, ATR: -0.0041, BBW: 0.06, Score: [-3, -2, 3], Dist: 2.45
2005-03-29, Orderly Decline, 5d%: -1.56%, MA20: -2.52, RSI: 17.7, VIX: 14.49, ATR: -0.0017, BBW: 0.06, Score: [-3, -2, 3], Dist: 2.45
2005-03-30, Orderly Decline, 5d%: +0.83%, MA20: -2.91, RSI: 35.3, VIX: 13.64, ATR: -0.0009, BBW: 0.06, Score: [-1, -2, 3], Dist: 2.45
2005-03-31, Orderly Decline, 5d%: +0.69%, MA20: -2.90, RSI: 33.3, VIX: 14.02, ATR: 0.0010, BBW: 0.06, Score: [-1, -2, 3], Dist: 2.45
2005-04-01, Orderly Decline, 5d%: +0.13%, MA20: -2.86, RSI: 33.9, VIX: 14.09, ATR: 0.0022, BBW: 0.06, Score: [-2, -2, 3], Dist: 2.24
2005-04-04, Orderly Decline, 5d%: +0.16%, MA20: -2.88, RSI: 31.0, VIX: 14.11, ATR: 0.0011, BBW: 0.06, Score: [-2, -2, 3], Dist: 2.24
2005-04-05, Orderly Decline, 5d%: +1.38%, MA20: -2.62, RSI: 39.4, VIX: 13.68, ATR: 0.0011, BBW: 0.05, Score: [-1, -2, 3], Dist: 2.45
2005-04-06, Orderly Decline, 5d%: +0.23%, MA20: -2.16, RSI: 47.1, VIX: 13.15, ATR: -0.0004, BBW: 0.04, Score: [-2, 0, 3], Dist: 2.24
2005-04-07, Trend Pullback, 5d%: +0.89%, MA20: -1.69, RSI: 50.6, VIX: 12.33, ATR: 0.0013, BBW: 0.04, Score: [-1, 1, 3], Dist: 3.00
2005-04-08, Orderly Decline, 5d%: +0.71%, MA20: -1.26, RSI: 45.0, VIX: 12.62, ATR: 0.0038, BBW: 0.04, Score: [-1, 0, 3], Dist: 2.45
2005-04-11, Orderly Decline, 5d%: +0.43%, MA20: -0.91, RSI: 48.4, VIX: 11.98, ATR: 0.0017, BBW: 0.03, Score: [-2, 0, 3], Dist: 2.24
2005-04-12, Trend Pullback, 5d%: +0.54%, MA20: -0.67, RSI: 61.0, VIX: 11.30, ATR: -0.0003, BBW: 0.03, Score: [-1, 1, 3], Dist: 3.00
2005-04-13, Trend Pullback, 5d%: -0.87%, MA20: -0.20, RSI: 50.7, VIX: 13.31, ATR: -0.0002, BBW: 0.03, Score: [-1, 1, 3], Dist: 3.00
2005-04-14, Orderly Decline, 5d%: -2.44%, MA20: -0.04, RSI: 45.2, VIX: 14.53, ATR: -0.0024, BBW: 0.03, Score: [-2, 0, 3], Dist: 2.24
2005-04-15, Orderly Decline, 5d%: -3.27%, MA20: -0.17, RSI: 36.0, VIX: 17.74, ATR: -0.0040, BBW: 0.04, Score: [-2, -2, 2], Dist: 1.41
2005-04-18, Orderly Decline, 5d%: -2.98%, MA20: -0.50, RSI: 41.0, VIX: 16.56, ATR: -0.0090, BBW: 0.04, Score: [-3, 0, 2], Dist: 1.73
2005-04-19, Orderly Decline, 5d%: -2.95%, MA20: -0.72, RSI: 35.5, VIX: 14.96, ATR: -0.0100, BBW: 0.04, Score: [-4, -2, 3], Dist: 3.00
2005-04-20, Orderly Decline, 5d%: -3.09%, MA20: -0.87, RSI: 30.9, VIX: 16.92, ATR: -0.0051, BBW: 0.05, Score: [-4, -2, 2], Dist: 2.45
2005-04-21, Orderly Decline, 5d%: -0.18%, MA20: -1.38, RSI: 44.9, VIX: 14.41, ATR: -0.0034, BBW: 0.05, Score: [-2, 0, 3], Dist: 2.24
2005-04-22, Orderly Decline, 5d%: +0.83%, MA20: -1.51, RSI: 40.9, VIX: 15.38, ATR: 0.0023, BBW: 0.05, Score: [-1, 0, 3], Dist: 2.45
2005-04-25, Orderly Decline, 5d%: +1.41%, MA20: -1.75, RSI: 43.0, VIX: 14.62, ATR: 0.0017, BBW: 0.05, Score: [-1, 0, 3], Dist: 2.45
2005-04-26, Orderly Decline, 5d%: -0.08%, MA20: -1.77, RSI: 38.9, VIX: 14.91, ATR: 0.0029, BBW: 0.06, Score: [-2, -2, 3], Dist: 2.24
2005-04-27, Orderly Decline, 5d%: +1.66%, MA20: -2.06, RSI: 37.8, VIX: 14.87, ATR: 0.0027, BBW: 0.06, Score: [-1, -2, 3], Dist: 2.45
2005-04-28, Orderly Decline, 5d%: -1.44%, MA20: -2.01, RSI: 36.9, VIX: 16.86, ATR: -0.0006, BBW: 0.06, Score: [-3, -2, 2], Dist: 1.73
2005-04-29, Orderly Decline, 5d%: +0.41%, MA20: -2.13, RSI: 42.3, VIX: 15.31, ATR: -0.0020, BBW: 0.06, Score: [-2, 0, 3], Dist: 2.24
2005-05-02, Orderly Decline, 5d%: +0.01%, MA20: -2.12, RSI: 41.9, VIX: 15.12, ATR: -0.0016, BBW: 0.06, Score: [-2, 0, 3], Dist: 2.24
2005-05-03, Orderly Decline, 5d%: +0.81%, MA20: -1.95, RSI: 45.6, VIX: 14.53, ATR: 0.0018, BBW: 0.05, Score: [-1, 0, 3], Dist: 2.45
2005-05-04, Trend Pullback, 5d%: +1.67%, MA20: -1.70, RSI: 54.6, VIX: 13.85, ATR: 0.0024, BBW: 0.05, Score: [-1, 1, 3], Dist: 3.00
2005-05-05, Steady Climb, 5d%: +2.57%, MA20: -1.16, RSI: 61.4, VIX: 13.98, ATR: 0.0059, BBW: 0.05, Score: [0, 1, 3], Dist: 2.24
2005-05-06, Trend Pullback, 5d%: +1.25%, MA20: -0.55, RSI: 59.8, VIX: 14.05, ATR: 0.0038, BBW: 0.05, Score: [-1, 1, 3], Dist: 3.00
2005-05-09, Steady Climb, 5d%: +1.44%, MA20: -0.08, RSI: 60.0, VIX: 13.75, ATR: 0.0025, BBW: 0.05, Score: [1, 1, 3], Dist: 1.41
2005-05-10, Steady Climb, 5d%: +0.43%, MA20: +0.51, RSI: 61.3, VIX: 14.91, ATR: 0.0027, BBW: 0.04, Score: [2, 1, 3], Dist: 1.00
2005-05-11, Steady Climb, 5d%: -0.39%, MA20: +1.03, RSI: 55.1, VIX: 14.45, ATR: -0.0011, BBW: 0.04, Score: [2, 1, 3], Dist: 1.00
2005-05-12, Steady Climb, 5d%: -1.13%, MA20: +1.43, RSI: 53.2, VIX: 16.12, ATR: -0.0007, BBW: 0.04, Score: [1, 1, 2], Dist: 1.00
2005-05-13, Steady Climb, 5d%: -1.48%, MA20: +1.48, RSI: 46.3, VIX: 16.32, ATR: -0.0027, BBW: 0.04, Score: [1, 0, 2], Dist: 1.41
2005-05-16, Steady Climb, 5d%: -1.12%, MA20: +1.15, RSI: 56.3, VIX: 15.68, ATR: -0.0048, BBW: 0.04, Score: [1, 1, 3], Dist: 1.41
2005-05-17, Steady Climb, 5d%: +0.65%, MA20: +1.02, RSI: 57.7, VIX: 14.57, ATR: -0.0015, BBW: 0.04, Score: [3, 1, 3], Dist: 1.41
2005-05-18, Steady Climb, 5d%: +1.23%, MA20: +1.09, RSI: 68.9, VIX: 13.63, ATR: 0.0010, BBW: 0.04, Score: [3, 2, 3], Dist: 1.73
2005-05-19, Steady Climb, 5d%: +2.74%, MA20: +1.05, RSI: 66.4, VIX: 13.32, ATR: 0.0061, BBW: 0.04, Score: [4, 2, 3], Dist: 2.45
2005-05-20, Steady Climb, 5d%: +3.05%, MA20: +1.37, RSI: 63.5, VIX: 13.14, ATR: 0.0079, BBW: 0.04, Score: [4, 1, 3], Dist: 2.24
2005-05-23, Steady Climb, 5d%: +2.42%, MA20: +1.50, RSI: 65.7, VIX: 12.95, ATR: 0.0054, BBW: 0.05, Score: [4, 2, 3], Dist: 2.45
2005-05-24, Steady Climb, 5d%: +1.73%, MA20: +1.79, RSI: 60.2, VIX: 12.69, ATR: 0.0037, BBW: 0.05, Score: [3, 1, 3], Dist: 1.41
2005-05-25, Steady Climb, 5d%: +0.38%, MA20: +1.88, RSI: 59.5, VIX: 12.58, ATR: 0.0017, BBW: 0.05, Score: [2, 1, 3], Dist: 1.00
2005-05-26, Steady Climb, 5d%: +0.55%, MA20: +1.92, RSI: 63.5, VIX: 12.24, ATR: 0.0002, BBW: 0.05, Score: [3, 1, 3], Dist: 1.41
2005-05-27, Steady Climb, 5d%: +0.80%, MA20: +1.81, RSI: 61.0, VIX: 12.15, ATR: 0.0011, BBW: 0.05, Score: [3, 1, 3], Dist: 1.41
2005-05-31, Steady Climb, 5d%: -0.20%, MA20: +1.84, RSI: 64.8, VIX: 13.29, ATR: 0.0011, BBW: 0.05, Score: [2, 1, 3], Dist: 1.00
2005-06-01, Steady Climb, 5d%: +0.68%, MA20: +1.80, RSI: 67.0, VIX: 12.36, ATR: 0.0003, BBW: 0.05, Score: [3, 2, 3], Dist: 1.73
2005-06-02, Steady Climb, 5d%: +1.20%, MA20: +1.85, RSI: 77.5, VIX: 11.84, ATR: 0.0015, BBW: 0.05, Score: [3, 2, 3], Dist: 1.73
2005-06-03, Steady Climb, 5d%: -0.13%, MA20: +2.09, RSI: 74.7, VIX: 12.15, ATR: 0.0014, BBW: 0.05, Score: [2, 2, 3], Dist: 1.41
2005-06-06, Steady Climb, 5d%: -0.11%, MA20: +2.13, RSI: 71.3, VIX: 12.28, ATR: 0.0006, BBW: 0.05, Score: [2, 2, 3], Dist: 1.41
2005-06-07, Steady Climb, 5d%: +0.48%, MA20: +2.13, RSI: 67.6, VIX: 12.39, ATR: 0.0005, BBW: 0.05, Score: [2, 2, 3], Dist: 1.41
2005-06-08, Steady Climb, 5d%: -0.63%, MA20: +2.20, RSI: 57.9, VIX: 12.70, ATR: -0.0014, BBW: 0.05, Score: [1, 1, 3], Dist: 1.41
2005-06-09, Steady Climb, 5d%: -0.28%, MA20: +2.02, RSI: 58.4, VIX: 12.08, ATR: -0.0015, BBW: 0.05, Score: [2, 1, 3], Dist: 1.00
2005-06-10, Steady Climb, 5d%: +0.17%, MA20: +1.95, RSI: 57.4, VIX: 11.96, ATR: 0.0006, BBW: 0.04, Score: [2, 1, 3], Dist: 1.00
2005-06-13, Steady Climb, 5d%: +0.28%, MA20: +1.62, RSI: 56.1, VIX: 11.65, ATR: 0.0004, BBW: 0.03, Score: [2, 1, 3], Dist: 1.00
2005-06-14, Steady Climb, 5d%: +0.56%, MA20: +1.18, RSI: 58.1, VIX: 11.79, ATR: 0.0009, BBW: 0.02, Score: [3, 1, 3], Dist: 1.41
2005-06-15, Steady Climb, 5d%: +1.00%, MA20: +0.90, RSI: 64.0, VIX: 11.46, ATR: 0.0015, BBW: 0.02, Score: [3, 1, 3], Dist: 1.41
2005-06-16, Steady Climb, 5d%: +0.84%, MA20: +0.73, RSI: 62.0, VIX: 11.15, ATR: 0.0014, BBW: 0.02, Score: [3, 1, 3], Dist: 1.41
2005-06-17, Steady Climb, 5d%: +1.57%, MA20: +0.76, RSI: 65.0, VIX: 11.48, ATR: 0.0026, BBW: 0.02, Score: [3, 2, 3], Dist: 1.73
2005-06-20, Steady Climb, 5d%: +1.27%, MA20: +0.92, RSI: 72.7, VIX: 11.47, ATR: 0.0032, BBW: 0.02, Score: [3, 2, 3], Dist: 1.73
2005-06-21, Steady Climb, 5d%: +0.81%, MA20: +1.00, RSI: 62.4, VIX: 11.08, ATR: 0.0029, BBW: 0.03, Score: [3, 1, 3], Dist: 1.41
2005-06-22, Steady Climb, 5d%: +0.61%, MA20: +1.08, RSI: 60.9, VIX: 11.05, ATR: 0.0016, BBW: 0.03, Score: [3, 1, 3], Dist: 1.41
2005-06-23, Steady Climb, 5d%: -0.84%, MA20: +1.14, RSI: 54.8, VIX: 12.13, ATR: 0.0002, BBW: 0.03, Score: [1, 1, 3], Dist: 1.41
2005-06-24, Steady Climb, 5d%: -2.09%, MA20: +0.91, RSI: 44.8, VIX: 12.18, ATR: -0.0029, BBW: 0.03, Score: [0, 0, 3], Dist: 2.45
2005-06-27, Steady Climb, 5d%: -2.09%, MA20: +0.66, RSI: 44.3, VIX: 12.52, ATR: -0.0052, BBW: 0.03, Score: [0, 0, 3], Dist: 2.45
2005-06-28, Steady Climb, 5d%: -0.99%, MA20: +0.42, RSI: 55.3, VIX: 11.58, ATR: -0.0057, BBW: 0.03, Score: [0, 1, 3], Dist: 2.24
2005-06-29, Steady Climb, 5d%: -1.16%, MA20: +0.24, RSI: 49.1, VIX: 11.77, ATR: -0.0029, BBW: 0.03, Score: [0, 0, 3], Dist: 2.45
2005-06-30, Orderly Decline, 5d%: -0.78%, MA20: +0.18, RSI: 44.9, VIX: 12.04, ATR: 0.0007, BBW: 0.03, Score: [-1, 0, 3], Dist: 2.45
2005-07-01, Steady Climb, 5d%: +0.24%, MA20: +0.04, RSI: 45.3, VIX: 11.40, ATR: 0.0007, BBW: 0.03, Score: [0, 0, 3], Dist: 2.45
2005-07-05, Steady Climb, 5d%: +1.20%, MA20: -0.16, RSI: 50.7, VIX: 11.68, ATR: -0.0002, BBW: 0.03, Score: [1, 1, 3], Dist: 1.41
2005-07-06, Orderly Decline, 5d%: -0.55%, MA20: -0.19, RSI: 42.9, VIX: 12.27, ATR: 0.0001, BBW: 0.03, Score: [-1, 0, 3], Dist: 2.45
2005-07-07, Orderly Decline, 5d%: -0.17%, MA20: -0.38, RSI: 41.9, VIX: 12.49, ATR: 0.0003, BBW: 0.03, Score: [-1, 0, 3], Dist: 2.45
2005-07-08, Orderly Decline, 5d%: +1.72%, MA20: -0.57, RSI: 47.1, VIX: 11.45, ATR: 0.0011, BBW: 0.03, Score: [-1, 0, 3], Dist: 2.45
2005-07-11, Steady Climb, 5d%: +2.09%, MA20: -0.46, RSI: 51.8, VIX: 11.28, ATR: 0.0023, BBW: 0.03, Score: [1, 1, 3], Dist: 1.41
2005-07-12, Steady Climb, 5d%: +1.43%, MA20: -0.30, RSI: 54.5, VIX: 10.95, ATR: 0.0037, BBW: 0.03, Score: [0, 1, 3], Dist: 2.24
2005-07-13, Steady Climb, 5d%: +2.37%, MA20: -0.09, RSI: 54.9, VIX: 10.84, ATR: 0.0062, BBW: 0.04, Score: [2, 1, 3], Dist: 1.00
2005-07-14, Steady Climb, 5d%: +2.39%, MA20: +0.14, RSI: 64.9, VIX: 10.81, ATR: 0.0050, BBW: 0.04, Score: [2, 1, 3], Dist: 1.00
2005-07-15, Steady Climb, 5d%: +1.33%, MA20: +0.44, RSI: 73.1, VIX: 10.33, ATR: 0.0027, BBW: 0.04, Score: [2, 2, 3], Dist: 1.41
2005-07-18, Steady Climb, 5d%: +0.14%, MA20: +0.80, RSI: 68.0, VIX: 10.77, ATR: 0.0017, BBW: 0.04, Score: [2, 2, 3], Dist: 1.41
2005-07-19, Steady Climb, 5d%: +0.58%, MA20: +1.13, RSI: 67.0, VIX: 10.45, ATR: 0.0002, BBW: 0.04, Score: [3, 2, 3], Dist: 1.73
2005-07-20, Steady Climb, 5d%: +0.97%, MA20: +1.56, RSI: 70.5, VIX: 10.23, ATR: 0.0005, BBW: 0.05, Score: [3, 2, 3], Dist: 1.73
2005-07-21, Steady Climb, 5d%: +0.04%, MA20: +2.01, RSI: 70.8, VIX: 10.97, ATR: 0.0015, BBW: 0.05, Score: [2, 2, 3], Dist: 1.41
2005-07-22, Steady Climb, 5d%: +0.47%, MA20: +2.31, RSI: 72.0, VIX: 10.52, ATR: 0.0010, BBW: 0.05, Score: [2, 2, 3], Dist: 1.41
2005-07-25, Steady Climb, 5d%: +0.65%, MA20: +2.49, RSI: 64.4, VIX: 11.10, ATR: 0.0019, BBW: 0.05, Score: [3, 1, 3], Dist: 1.41
2005-07-26, Steady Climb, 5d%: +0.15%, MA20: +2.40, RSI: 74.0, VIX: 10.99, ATR: -0.0002, BBW: 0.05, Score: [2, 2, 3], Dist: 1.41
2005-07-27, Steady Climb, 5d%: +0.13%, MA20: +2.27, RSI: 74.9, VIX: 10.36, ATR: -0.0005, BBW: 0.05, Score: [2, 2, 3], Dist: 1.41
2005-07-28, Steady Climb, 5d%: +1.36%, MA20: +2.34, RSI: 72.4, VIX: 10.52, ATR: 0.0014, BBW: 0.05, Score: [3, 2, 3], Dist: 1.73
2005-07-29, Steady Climb, 5d%: +0.04%, MA20: +2.42, RSI: 60.1, VIX: 11.57, ATR: 0.0023, BBW: 0.05, Score: [2, 1, 3], Dist: 1.00
2005-08-01, Steady Climb, 5d%: +0.51%, MA20: +2.17, RSI: 59.2, VIX: 12.08, ATR: 0.0019, BBW: 0.04, Score: [3, 1, 3], Dist: 1.41
2005-08-02, Steady Climb, 5d%: +1.05%, MA20: +1.92, RSI: 63.2, VIX: 11.75, ATR: 0.0005, BBW: 0.04, Score: [3, 1, 3], Dist: 1.41
2005-08-03, Steady Climb, 5d%: +0.67%, MA20: +1.90, RSI: 62.1, VIX: 11.83, ATR: 0.0005, BBW: 0.04, Score: [3, 1, 3], Dist: 1.41
2005-08-04, Steady Climb, 5d%: -0.63%, MA20: +1.67, RSI: 54.7, VIX: 12.52, ATR: 0.0010, BBW: 0.03, Score: [1, 1, 3], Dist: 1.41
2005-08-05, Steady Climb, 5d%: -0.63%, MA20: +1.29, RSI: 53.0, VIX: 12.48, ATR: 0.0011, BBW: 0.02, Score: [1, 1, 3], Dist: 1.41
2005-08-08, Steady Climb, 5d%: -0.99%, MA20: +0.93, RSI: 46.2, VIX: 13.21, ATR: -0.0021, BBW: 0.02, Score: [1, 0, 3], Dist: 1.73
